NU_ANO_CENSO;CODE;NAME;CO_ORGAO_REGIONAL;TP_SITUACAO_FUNCIONAMENTO;DT_ANO_LETIVO_INICIO;DT_ANO_LETIVO_TERMINO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_UF;CO_MUNICIPIO;CO_DISTRITO;TP_DEPENDENCIA;TP_LOCALIZACAO;QT_SALAS_EXISTENTES;QT_SALAS_UTILIZADAS;QT_FUNCIONARIOS
2018;53005651;EC 10 DE SOBRADINHO;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;9;9;68
2018;53005660;EC 11 DE SOBRADINHO;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;10;10;84
2018;53005678;EC 12 DE SOBRADINHO;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;11;11;54
2018;53005686;EC 13 DE SOBRADINHO;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;11;11;56
2018;53005694;EC BOA VISTA;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;6;6;26
2018;53005708;EC CATINGUEIRO;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;3;3;20
2018;53005716;EC CORA CORALINA;17;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;6;6;43
2018;53005724;EC CORREGO DO OURO;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;3;3;14
2018;53008782;CEF ATHOS BULCAO;1;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;18;18;57
2018;53008790;CEM INTEGRADO DO CRUZEIRO;1;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;17;17;62
2018;53008804;CED 02 DO CRUZEIRO;1;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;20;116
2018;53008812;CED CIMAN;99;1;29/01/2018;12/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;16;16;57
2018;53008820;EC 04 DO CRUZEIRO;1;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;9;8;48
2018;53006313;EC ALTA-MIR;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;7;6;41
2018;53006321;EC APRODARMAS;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;6;6;29
2018;53006348;EC BARRA ALTA;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;4;4;18
2018;53006356;EC BROCHADO DA ROCHA;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;5;5;5
2018;53006364;CEF CERAMICAS REUNIDAS DOM BOSCO;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;11;11;69
2018;53006372;EC COPERBRAS;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;7;7;16
2018;53006380;EC CORREGO DO MEIO;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;3;3;24
2018;53006402;EC ESTANCIA DO PIPIRIPAU;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;3;3;12
2018;53006410;EC ESTANCIA DE PLANALTINA;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;13;13;74
2018;53006429;EC ETA 44;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;7;7;35
2018;53006437;EC FRIGORIFICO INDUSTRIAL;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;6;6;31
2018;53006461;EC MONJOLO;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;5;4;34
2018;53006488;EC NUCLEO RURAL CORREGO DO ATOLEIRO;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;2;2;20
2018;53006496;CED OSORIO BACCHIN;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;6;6;42
2018;53006518;EC PARANA;6;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;11;11;61
2018;53011333;COL JUSCELINO KUBITSCHEK - TAG SUL;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53017501;ESC FLOR DE LIS;3;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;19;19;74
2018;53017510;C DE ENS GRAU TECNICO;99;1;14/05/2018;15/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;5;5;20
2018;53017528;INTED - INST NT DE EDUCACAO;99;1;04/01/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;8;2;14
2018;53017536;COL ALUB - SEDE XII;99;1;31/01/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;23;18;60
2018;53017544;EC COMUNIDADE DE APRENDIZAGEM DO PARANOA - EC CAP;17;1;02/05/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;10;10;39
2018;53017552;COL PROGRESSUS;99;1;05/02/2018;19/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;7;7;15
2018;53017560;INST MERITO;99;1;10/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;14;14;14
2018;53017579;ESC CASTELINHO DO PEQUENO SABIO;99;1;29/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;13;13;45
2018;53017587;ESC CRIANCA EM ACAO;99;1;05/02/2018;17/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;18
2018;53017595;ESC CANADENSE DE AGUAS CLARAS;99;1;15/02/2018;15/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;26;8;40
2018;53017609;COL CENESC;99;1;29/01/2018;13/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;6;6;5
2018;53017617;ME POE NA HISTORIA - EDUC INF;99;1;29/01/2018;08/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;12;10;45
2018;53017625;CED SANTA CARMEN SALLES;99;1;14/05/2018;25/01/2019;5;5301;53001;53;5300108;530010805;Privada;Urbana;29;4;26
2018;53017633;COL CCA;99;1;29/01/2018;17/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;5;4;14
2018;53016459;CEPI PICA-PAU BRANCO;10;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;38
2018;53016467;CEPI ANGICO;10;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;8;8;36
2018;53016475;CEPI AROEIRA;4;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;10;9;35
2018;53016483;CEPI SABIA-LARANJEIRA;3;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;8;8;35
2018;53016491;CEPI FLOR DE PEQUI;8;1;14/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;38
2018;53016505;CEPI IPE-AMARELO;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;40
2018;53016513;CEPI ESTRELA-DO-CERRADO;8;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;42
2018;53016521;CEPI JOAO-DE-BARRO;5;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;8;8;38
2018;53016530;CEPI CANELA-DE-EMA;5;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;31
2018;53016548;CEPI JASMIM;8;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;32
2018;53016564;CEPI MACAUBA;3;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;43
2018;53016572;CEPI SEMPRE-VIVA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;38
2018;53016580;C DE EDUC PROFISSIONAL DE CEILANDIA;99;1;05/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;14;2;32
2018;53016599;COL ALUB SEDE VII;99;1;31/01/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;22;14;59
2018;53007395;CEF 18 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;17;72
2018;53007409;CEF 19 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;18;71
2018;53016050;FACIPLAC;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53010868;COL VITAL BRAZIL;99;1;29/01/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;48;36;78
2018;53010914;ESC EVANGELICA RECANTO DO CEU;99;1;05/02/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;11;9;10
2018;53010949;CE MENINO MALUQUINHO;99;1;31/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;13;13;38
2018;53010973;CED PROJECAO SOBRADINHO;99;1;29/01/2018;29/11/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;26;26;60
2018;53010981;CIL DO GUARA;9;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;12;12;69
2018;53010990;ESC CANTINHO MAGICO;99;1;29/01/2018;08/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;29;29;105
2018;53011007;ACAO SOCIAL PAULA FRASSINETTI;1;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;45
2018;53011015;EC RIACHO FUNDO;7;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;15;13;73
2018;53011023;CED 02 DO RIACHO FUNDO;7;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;15;129
2018;53011031;CEM 01 DE SAO SEBASTIAO;18;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;19;17;134
2018;53011040;CEF DO BOSQUE;18;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;17;15;87
2018;53011058;CR CRUZ DE MALTA SAO JOAO BATISTA DE JERUSALEM;1;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;52
2018;53008057;EC 56 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;18;18;68
2018;53008073;EC 59 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;14;14;65
2018;53008081;CEF 34 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;14;62
2018;53008090;EC 61 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;18;18;70
2018;53012046;CEF 10 DO GUARA;9;1;15/01/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;13;69
2018;53012054;CEF SANTOS DUMONT;15;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;20;105
2018;53012062;CEF 201 DE SANTA MARIA;15;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;15;122
2018;53012070;EC AGUILHADA;18;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;6;6;38
2018;53012089;EC 02 DO RIACHO FUNDO;7;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;16;16;64
2018;53012097;CED 123 DE SAMAMBAIA;10;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;15;78
2018;53012119;CED 308 DO RECANTO DAS EMAS;19;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;15;73
2018;53012127;CEF 405 DO RECANTO DAS EMAS;19;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;16;16;115
2018;53012135;CEI 01 DE BRASILIA;1;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;17;17;125
2018;53012151;CEI DA CANDANGOLANDIA;7;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;10;9;53
2018;53012160;EDUCANDARIO ESPIRITA SEMENTINHA DE LUZ;10;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;7;7;37
2018;53008839;EC 05 DO CRUZEIRO;1;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;8;8;54
2018;53008847;EC 06 DO CRUZEIRO;1;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;9;9;46
2018;53008855;EC 08 DO CRUZEIRO;1;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;16;37
2018;53008863;ESC MUNDO MAGICO;99;1;31/01/2018;10/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;11;11;46
2018;53008898;JI 01 DO CRUZEIRO;1;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;6;6;35
2018;53008901;ESC MAT E JI BARQUINHO AMARELO;99;1;30/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;8;8;19
2018;53008944;CAIC AYRTON SENNA;10;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;31;26;73
2018;53008952;CAIC HELENA REIS;10;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;20;116
2018;53008979;CED MYRIAM ERVILHA;19;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;22;22;135
2018;53008987;CEF 404 DE SAMAMBAIA;10;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;16;15;97
2018;53012860;COL GALOIS;99;1;29/01/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;30;28;154
2018;53012887;EC 401 DO RECANTO DAS EMAS;19;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;20;99
2018;53012895;ESC DA NATUREZA;1;1;05/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;5;5;18
2018;53012909;ESC DNA;99;1;29/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;20;14;75
2018;53012941;COL CIMAN;99;1;29/01/2018;12/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;61;58;231
2018;53009576;CED SIGMA - LAGO SUL;99;1;24/01/2018;18/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;36;36;50
2018;53009584;CEF 06 DE BRASILIA;1;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;12;12;101
2018;53009592;COL NOSSA SENHORA DO PERPETUO SOCORRO;99;1;29/01/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;27;23;107
2018;53009606;INST EDUCACIONAL SAO JUDAS TADEU;17;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;8;8;47
2018;53009614;JI VI COMAR;1;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;6;6;27
2018;53009649;CAIC ALBERT SABIN;15;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;36;26;116
2018;53009657;CAIC SANTA MARIA;15;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;34;34;144
2018;53009665;CEF 308 DE SANTA MARIA;15;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;24;24;118
2018;53009673;EC 206 DE SANTA MARIA;15;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;25;16;95
2018;53009681;EC 116 DE SANTA MARIA;15;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;18;86
2018;53009690;CEF 316 DE SANTA MARIA;15;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;17;15;113
2018;53009703;EC 203 DE SANTA MARIA;15;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;36;36;120
2018;53009711;CEF SARGENTO LIMA;15;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Rural;11;10;52
2018;53009720;CAIC UNESCO;18;1;05/02/2018;04/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;43;43;240
2018;53016033;FACULDADES LS FACELS;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53012208;CR CANTINHO DO CEU;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53015924;C UNIVERSITARIO INST DE EDUC SUPERIOR DE BRASILIA - IESB - UNIDADE ASA NORTE;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53017641;CIESB - C INTERNACIONAL EVANGELICO SUICO BRASILEIRO;99;1;24/01/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;13;13;55
2018;53017650;GALOIS - FILIAL 1;99;1;29/01/2018;11/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;10;5;28
2018;53017668;IFB - CAMPUS RECANTO DAS EMAS;;1;08/02/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Federal;Rural;10;10;75
2018;53017676;EDEN GARDEN BILINGUAL SCHOOL;99;1;05/02/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;11;8;16
2018;53017684;UNYLEYA ESC TECNICA - UNYTECH;99;1;19/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;10;10;17
2018;53017692;VIRAVENTOS ESCOLA INFANTIL;99;1;29/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;11;10;52
2018;53017706;INST EDUCACIONAL SOARES;99;1;15/02/2018;22/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;10;10;22
2018;53017714;COL BIANGULO II;99;1;29/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;7;7;26
2018;53017722;COLEGIO GAUI;99;1;22/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;10;7;12
2018;53017765;REDE DE ENSINO CERTO - UNIDADE VICENTE PIRES;99;1;01/02/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;29
2018;53018206;COL CECCO - CE CANTINHO DO CORACAO;99;1;29/01/2018;18/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;7;7;8
2018;53018605;CEF 113 DO RECANTO DAS EMAS;19;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;20;104
2018;53019008;ESC PASSINHOS DO SABER;99;1;30/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;7;7;7
2018;53019202;COL CRIART;99;1;05/02/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;11;11;14
2018;53016602;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC;99;1;02/01/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;13;13;28
2018;53016637;ESC CENED;99;1;01/01/2018;31/07/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;50;50;21
2018;53016645;IFB - CAMPUS CEILANDIA;;1;07/02/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Federal;Urbana;13;13;95
2018;53016653;IFB - CAMPUS ESTRUTURAL;;1;07/02/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Federal;Urbana;14;14;96
2018;53016661;COL RODRIGUES DE SOUZA;99;1;05/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;4;4;4
2018;53016688;INST DE EDUC VITORIA REGIA;99;1;22/01/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;11;8;52
2018;53016696;GALOIS INFANTIL;99;1;31/01/2018;13/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;15;12;36
2018;53016718;CEPI CAPIM DOURADO;8;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;34
2018;53014960;CR ESC BALAOZINHO;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53012526;CR ESPIRITA MARIA DE NAZARE;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53016726;UNICO EDUCACIONAL;99;1;29/01/2018;07/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;11;11;57
2018;53016734;CIL 01 DE SAO SEBASTIAO;18;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;13;8;13
2018;53016742;CIL 01 DO NUCLEO BANDEIRANTE;7;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;8;8;13
2018;53016750;CEPI ARARAUNA;15;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;9;9;39
2018;53016769;ESC PRIMEIROS PASSOS;99;1;29/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;7;7;14
